Round,Loss,Accuracy,Micro_P,Micro_R,Micro_F1,Macro_P,Macro_R,Macro_F1,Weighted_P,Weighted_R,Weighted_F1
0,2.5662693751427823,0.0014660749091204113,0.0014660749091204113,0.0014660749091204113,0.0014660749086204113,0.3346664107222572,0.2842404917582842,0.0026493249923639412,0.9962492498477401,0.0014660749091204113,4.7507198112336e-05
5,0.07259683777416302,0.9962362870738576,0.9962362870738576,0.9962362870738576,0.9962362870733575,0.33207876235795253,0.3333333333333333,0.33270486515858005,0.9924867396827056,0.9962362870738576,0.9943579786709767
10,0.06155656191185976,0.9962362870738576,0.9962362870738576,0.9962362870738576,0.9962362870733575,0.33207876235795253,0.3333333333333333,0.33270486515858005,0.9924867396827056,0.9962362870738576,0.9943579786709767
15,0.056236959033299866,0.9962362870738576,0.9962362870738576,0.9962362870738576,0.9962362870733575,0.33207876235795253,0.3333333333333333,0.33270486515858005,0.9924867396827056,0.9962362870738576,0.9943579786709767
20,0.05399358863959148,0.9966374272680192,0.9966374272680192,0.9966374272680192,0.9966374272675191,0.658980862398726,0.3726871988994951,0.403023632836166,0.9962920251147394,0.9966374272680192,0.9952885440156416
25,0.05886847418722258,0.9965312266428312,0.9965312266428312,0.9965312266428312,0.9965312266423312,0.5264828126441046,0.4335267398346299,0.4651260708581755,0.995541200294343,0.9965312266428312,0.9958804867248546
